model,split_seed,candidate_seed,layer_rule,layer,nested_model,features,n_candidates,n_images,n_positive,positive_rate,group_folds,oof_auroc,oof_auprc
bbb_densenet,1003,2,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16804,0.21005,5,0.9770993934468868,0.9428061310184774
bbb_densenet,1003,2,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,15362,0.192025,5,0.6954472179893607,0.3392879669324806
bbb_densenet,1003,2,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,15362,0.192025,5,0.8067329045481256,0.45109094461081495
bbb_densenet,1003,2,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,15362,0.192025,5,0.9755881502100051,0.9329801586922288
bbb_densenet,1003,2,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,15362,0.192025,5,0.9756234081098503,0.9329205910682503
bbb_densenet,1003,2,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,15362,0.192025,5,0.980888603933354,0.9447697053521701
bbb_densenet,1003,3,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16799,0.2099875,5,0.6356584347564714,0.29904242913969215
bbb_densenet,1003,3,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16799,0.2099875,5,0.7688003575246661,0.4248226899552891
bbb_densenet,1003,3,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16799,0.2099875,5,0.977290624305171,0.9429612597012194
bbb_densenet,1003,3,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16799,0.2099875,5,0.9772975329479603,0.9429631831162657
bbb_densenet,1003,3,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16799,0.2099875,5,0.9774281679893978,0.9435384751035715
bbb_densenet,1003,3,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,15265,0.1908125,5,0.6951376155214267,0.3374117127920483
bbb_densenet,1003,3,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,15265,0.1908125,5,0.806374194918126,0.45003395912257016
bbb_densenet,1003,3,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,15265,0.1908125,5,0.9755121076020807,0.9334846433236598
bbb_densenet,1003,3,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,15265,0.1908125,5,0.9755630325463805,0.9334978029232506
