model,split_seed,candidate_seed,layer_rule,layer,M0_singular,M1_jvp_proxy,M2_margin,M3_gradient,M4_transport,delta_transport_oof_auprc
bbb_inception_v3,1002,2,prespecified_prelogit,penultimate,0.349199750205087,0.452217486956544,0.9640601833207689,0.9639546937347641,0.9670209605111661,0.0030662667764020934
bbb_inception_v3,1002,3,nested_selected_nonlogit,mixed7,0.3539941901544314,0.4550706927001712,0.963945548265654,0.9638738368178683,0.9674115306719557,0.0035376938540874203
bbb_inception_v3,1002,3,prespecified_prelogit,penultimate,0.35382212729513646,0.4546976321534478,0.9634802068882188,0.9634089254141999,0.9669634005743857,0.0035544751601858104
bbb_inception_v3,1002,4,nested_selected_nonlogit,mixed7,0.3506459674415087,0.45316645508276615,0.9644825661443093,0.964358345757035,0.9678239576279604,0.0034656118709253114
bbb_inception_v3,1002,4,prespecified_prelogit,penultimate,0.3509470569330084,0.4527402645723697,0.9645710720935926,0.9644371764529767,0.9679172172634867,0.00348004081051001
bbb_inception_v3,1003,0,nested_selected_nonlogit,mixed6,0.25166338686837997,0.36028650255181155,0.9675706782656778,0.9679123305686472,0.968583618876006,0.0006712883073587417
bbb_inception_v3,1003,0,prespecified_prelogit,penultimate,0.3419392814350352,0.4616476195081587,0.9639085581937831,0.9636956422979412,0.967335599002578,0.003639956704636793
bbb_inception_v3,1003,1,nested_selected_nonlogit,mixed6,0.25104802228168427,0.3605469900268455,0.9664633370563345,0.9669691089779328,0.96774419130688,0.0007750823289472963
bbb_inception_v3,1003,1,prespecified_prelogit,penultimate,0.34011778143765825,0.4613395539498182,0.9616051837010289,0.9614573962861664,0.9653104862420794,0.003853089955912936
bbb_inception_v3,1003,2,nested_selected_nonlogit,mixed6,0.2524287133455145,0.3644918660177079,0.9659445106284044,0.9664236748315969,0.9674554915686204,0.001031816737023572
bbb_inception_v3,1003,2,prespecified_prelogit,penultimate,0.3449129383975321,0.4640425106782281,0.9628256300396354,0.9626992195575068,0.9667196058126835,0.0040203862551766445
bbb_inception_v3,1003,3,nested_selected_nonlogit,mixed6,0.2520790992764066,0.36213617271326776,0.9662349106694452,0.966556792913521,0.967236215608348,0.0006794226948270143
bbb_inception_v3,1003,3,prespecified_prelogit,penultimate,0.34346468606236524,0.46142143699236526,0.9615660766196057,0.9614427814821316,0.9654222365406395,0.003979455058507941
bbb_inception_v3,1003,4,nested_selected_nonlogit,mixed6,0.2525267503143195,0.3613560539770935,0.9657484379036143,0.96624905826533,0.966901640350077,0.0006525820847469443
bbb_inception_v3,1003,4,prespecified_prelogit,penultimate,0.34212303929609655,0.4610292028068728,0.9632908282000332,0.9631177048924402,0.9671211058771632,0.00400340098472296
bbb_resnet50,1001,0,nested_selected_nonlogit,avgpool,0.35933320936028434,0.4597999814575462,0.9227613849923462,0.9226908854078212,0.931832330313233,0.0091414449054118
bbb_resnet50,1001,1,nested_selected_nonlogit,avgpool,0.35821221938683884,0.4584249168260705,0.9217853914554721,0.9217614594857257,0.9306457707174558,0.008884311231730058
bbb_resnet50,1001,2,nested_selected_nonlogit,avgpool,0.3563111431262526,0.45663653273238186,0.9222329923354978,0.9221617358039795,0.9318398684839814,0.009678132680001839
bbb_resnet50,1001,3,nested_selected_nonlogit,avgpool,0.358016348015714,0.4589102341955852,0.922419595328901,0.9223769535305599,0.9316602939065793,0.009283340376019411
bbb_resnet50,1001,4,nested_selected_nonlogit,avgpool,0.3588354237040473,0.4586262950497034,0.9230404928186939,0.9229687171635305,0.9321251501665017,0.009156433002971198
bbb_resnet50,1002,0,nested_selected_nonlogit,avgpool,0.3465744125214998,0.44616277381412767,0.9254495631967179,0.9252689081612733,0.9363110184388739,0.011042110277600603
bbb_resnet50,1002,1,nested_selected_nonlogit,avgpool,0.3493678380725194,0.4503493956272758,0.9263991643896344,0.9261881869855375,0.9367547188281279,0.010566531842590376
bbb_resnet50,1002,2,nested_selected_nonlogit,avgpool,0.3500424985875837,0.45139887906742737,0.9249149458149526,0.924659145888996,0.9352340408094619,0.010574894920465927
bbb_resnet50,1002,3,nested_selected_nonlogit,avgpool,0.3503566901653166,0.4503136111810031,0.9274643759713024,0.9272718656224109,0.9376904143399709,0.010418548717559983
bbb_resnet50,1002,4,nested_selected_nonlogit,avgpool,0.3498996699779059,0.4509531280662964,0.9254196854175007,0.9252157678172925,0.9354485215552644,0.010232753737971834
bbb_resnet50,1003,0,nested_selected_nonlogit,avgpool,0.3574795771134512,0.4532666113659361,0.9278224396594889,0.9277953550713712,0.9360205196359355,0.008225164564564236
bbb_resnet50,1003,1,nested_selected_nonlogit,avgpool,0.35985188151265446,0.4558772362979349,0.927490779335338,0.9274621496935762,0.9358372074959379,0.008375057802361696
bbb_resnet50,1003,2,nested_selected_nonlogit,avgpool,0.36000778146892687,0.4554890762629239,0.9268515384636962,0.9267378066066898,0.9350308368173648,0.008293030210674956
bbb_resnet50,1003,3,nested_selected_nonlogit,avgpool,0.36044872932148425,0.4565809950545487,0.9296610448284202,0.9296442726824041,0.9380068556567984,0.008362582974394295
